timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1663232057205,202,https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewCompanyStructure-2,304,Not Modified,Thread Group 1-2,,true,,993,697,3,3,https://opensource-demo.orangehrmlive.com/web/dist/css/chunk-vendors.css?1660914792648,0,0,0
1663232057205,202,https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewCompanyStructure-3,304,Not Modified,Thread Group 1-2,,true,,993,687,3,3,https://opensource-demo.orangehrmlive.com/web/dist/css/app.css?1660914792648,0,0,0
1663232057205,202,https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewCompanyStructure-4,304,Not Modified,Thread Group 1-2,,true,,994,696,3,3,https://opensource-demo.orangehrmlive.com/web/dist/js/chunk-vendors.js?1660914792648,0,0,0
1663232057205,202,https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewCompanyStructure-5,304,Not Modified,Thread Group 1-2,,true,,994,686,3,3,https://opensource-demo.orangehrmlive.com/web/dist/js/app.js?1660914792648,0,0,0
1663232057408,327,https://opensource-demo.orangehrmlive.com/web/index.php/core/i18n/messages,304,Not Modified,Thread Group 1-2,,true,,1052,586,3,3,https://opensource-demo.orangehrmlive.com/web/index.php/core/i18n/messages,0,0,0
1663232057736,515,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/admin/subunits?mode=tree,200,OK,Thread Group 1-2,text,true,,1784,540,3,3,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/admin/subunits?mode=tree,515,0,0
1663232039924,5356,Organizational Details,200,"Number of samples in transaction : 9, number of failing samples : 0",Thread Group 1-1,,true,,79378,16127,3,3,null,0,16504,0
1663232040856,994,https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewAdminModule,200,OK,Thread Group 1-1,text,true,,16932,4651,3,3,https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewSystemUsers,357,0,0
1663232040856,357,https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewAdminModule-0,302,Found,Thread Group 1-1,text,true,,1695,600,3,3,https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewAdminModule,357,0,0
1663232041213,436,https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewAdminModule-1,200,OK,Thread Group 1-1,text,true,,10272,600,3,3,https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewSystemUsers,436,0,0
1663232041652,198,https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewAdminModule-2,304,Not Modified,Thread Group 1-1,,true,,991,685,3,3,https://opensource-demo.orangehrmlive.com/web/dist/favicon.ico?1660914792648,0,0,0
1663232041652,198,https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewAdminModule-3,304,Not Modified,Thread Group 1-1,,true,,993,697,3,3,https://opensource-demo.orangehrmlive.com/web/dist/css/chunk-vendors.css?1660914792648,0,0,0
1663232041652,198,https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewAdminModule-4,304,Not Modified,Thread Group 1-1,,true,,993,687,3,3,https://opensource-demo.orangehrmlive.com/web/dist/css/app.css?1660914792648,0,0,0
1663232041652,198,https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewAdminModule-5,304,Not Modified,Thread Group 1-1,,true,,994,696,3,3,https://opensource-demo.orangehrmlive.com/web/dist/js/chunk-vendors.js?1660914792648,0,0,0
